invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,revenue,,,,,,,,,,,,
I100666,C996052,Female,62,Books,2,30.3,Cash,02-04-22,Metrocity,60.6,,,,,,,,,,,,
I100671,C284324,Male,28,Clothing,1,300.08,Cash,03-05-21,Metrocity,300.08,,,,,,,,,,,,
I100682,C134970,Male,58,Toys,4,143.36,Cash,22-03-21,Istinye Park,573.44,,,,,,,,,,,,
I100684,C175424,Male,30,Cosmetics,5,203.3,Credit Card,11-08-21,Emaar Square Mall,1016.5,,,,,,,,,,,,
I100685,C263059,Male,60,Souvenir,2,23.46,Debit Card,24-05-21,Forum Istanbul,46.92,,,,,,,,,,,,
I100691,C116434,Female,35,Clothing,2,600.16,Cash,26-04-22,Viaport Outlet,1200.32,,,,,,,,,,,,
I100694,C318405,Female,62,Food & Beverage,4,20.92,Cash,27-11-22,Kanyon,83.68,,,,,,,,,,,,
I100696,C131827,Male,44,Clothing,2,600.16,Cash,12-07-21,Metrocity,1200.32,,,,,,,,,,,,
I100697,C159194,Female,31,Clothing,4,1200.32,Cash,19-12-21,Kanyon,4801.28,,,,,,,,,,,,
I100699,C844692,Male,44,Books,1,15.15,Credit Card,07-03-21,Mall of Istanbul,15.15,,,,,,,,,,,,
I100700,C831975,Female,60,Clothing,4,1200.32,Credit Card,24-10-21,Viaport Outlet,4801.28,,,,,,,,,,,,
I100703,C263996,Male,36,Clothing,2,600.16,Cash,08-08-22,Metrocity,1200.32,,,,,,,,,,,,
I100704,C864065,Male,24,Technology,2,2100,Debit Card,30-04-21,Mall of Istanbul,4200,,,,,,,,,,,,
I100709,C156430,Female,40,Clothing,3,900.24,Debit Card,18-08-21,Mall of Istanbul,2700.72,,,,,,,,,,,,
I100719,C193403,Male,69,Toys,2,71.68,Cash,17-07-22,Zorlu Center,143.36,,,,,,,,,,,,
I100721,C993556,Female,51,Clothing,2,600.16,Debit Card,02-05-22,Kanyon,1200.32,,,,,,,,,,,,
I100723,C150582,Female,38,Toys,1,35.84,Debit Card,08-02-21,Mall of Istanbul,35.84,,,,,,,,,,,,
I100731,C868764,Female,28,Books,1,15.15,Debit Card,29-12-22,Emaar Square Mall,15.15,,,,,,,,,,,,
I100733,C932952,Female,42,Books,1,15.15,Cash,28-02-22,Kanyon,15.15,,,,,,,,,,,,
I100735,C107829,Female,44,Souvenir,4,46.92,Debit Card,02-02-22,Metropol AVM,187.68,,,,,,,,,,,,
I100738,C155129,Male,20,Clothing,2,600.16,Debit Card,31-03-22,Kanyon,1200.32,,,,,,,,,,,,
I100741,C828874,Male,41,Cosmetics,5,203.3,Debit Card,05-01-21,Cevahir AVM,1016.5,,,,,,,,,,,,
I100742,C422142,Female,58,Food & Beverage,3,15.69,Credit Card,05-04-22,Metropol AVM,47.07,,,,,,,,,,,,
I100744,C146601,Female,50,Clothing,4,1200.32,Cash,31-03-22,Kanyon,4801.28,,,,,,,,,,,,
I100749,C272878,Female,52,Toys,2,71.68,Cash,04-03-21,Metrocity,143.36,,,,,,,,,,,,
I100756,C771102,Male,31,Clothing,1,300.08,Cash,17-02-23,Mall of Istanbul,300.08,,,,,,,,,,,,
I100760,C800785,Female,18,Books,4,60.6,Credit Card,19-01-21,Mall of Istanbul,242.4,,,,,,,,,,,,
I100762,C183883,Female,49,Clothing,1,300.08,Debit Card,11-01-23,Zorlu Center,300.08,,,,,,,,,,,,
I100763,C264447,Female,35,Cosmetics,4,162.64,Cash,10-07-22,Cevahir AVM,650.56,,,,,,,,,,,,
I100764,C564073,Male,54,Cosmetics,3,121.98,Credit Card,07-02-23,Istinye Park,365.94,,,,,,,,,,,,
I100768,C223065,Female,49,Cosmetics,3,121.98,Cash,28-05-22,Kanyon,365.94,,,,,,,,,,,,
I100770,C140792,Female,61,Toys,5,179.2,Credit Card,10-04-21,Metropol AVM,896,,,,,,,,,,,,
I100771,C235228,Female,23,Food & Beverage,3,15.69,Credit Card,07-03-22,Istinye Park,47.07,,,,,,,,,,,,
I100775,C981100,Male,23,Cosmetics,5,203.3,Cash,02-04-21,Metropol AVM,1016.5,,,,,,,,,,,,
I100777,C303252,Female,38,Toys,3,107.52,Credit Card,29-10-21,Kanyon,322.56,,,,,,,,,,,,
I100780,C191396,Female,62,Books,3,45.45,Credit Card,06-04-21,Mall of Istanbul,136.35,,,,,,,,,,,,
I100782,C582964,Male,55,Food & Beverage,3,15.69,Debit Card,11-03-22,Zorlu Center,47.07,,,,,,,,,,,,
I100791,C289735,Female,39,Cosmetics,4,162.64,Cash,11-10-21,Metropol AVM,650.56,,,,,,,,,,,,
I100793,C328805,Male,29,Cosmetics,3,121.98,Cash,15-03-21,Istinye Park,365.94,,,,,,,,,,,,
I100795,C232822,Male,62,Books,2,30.3,Debit Card,06-07-22,Kanyon,60.6,,,,,,,,,,,,
I100797,C224221,Male,23,Shoes,4,2400.68,Credit Card,17-10-21,Metropol AVM,9602.72,,,,,,,,,,,,
I100803,C273636,Female,38,Books,5,75.75,Cash,24-02-23,Mall of Istanbul,378.75,,,,,,,,,,,,
I100812,C208761,Female,66,Clothing,5,1500.4,Credit Card,24-03-22,Metropol AVM,7502,,,,,,,,,,,,
I100813,C250804,Male,63,Clothing,2,600.16,Cash,18-03-22,Emaar Square Mall,1200.32,,,,,,,,,,,,
I100814,C130818,Female,38,Books,3,45.45,Credit Card,12-08-22,Mall of Istanbul,136.35,,,,,,,,,,,,
I100815,C222582,Male,50,Toys,4,143.36,Cash,19-04-22,Kanyon,573.44,,,,,,,,,,,,
I100818,C151068,Female,21,Food & Beverage,3,15.69,Cash,08-01-21,Mall of Istanbul,47.07,,,,,,,,,,,,
I100820,C180870,Male,20,Food & Beverage,2,10.46,Cash,26-12-21,Metrocity,20.92,,,,,,,,,,,,
I100822,C336505,Male,55,Cosmetics,1,40.66,Cash,15-11-21,Zorlu Center,40.66,,,,,,,,,,,,
I100829,C115788,Male,32,Souvenir,5,58.65,Credit Card,30-07-21,Istinye Park,293.25,,,,,,,,,,,,
I100835,C259176,Female,43,Clothing,5,1500.4,Debit Card,27-08-22,Viaport Outlet,7502,,,,,,,,,,,,
I100837,C827434,Male,65,Clothing,1,300.08,Cash,12-01-23,Cevahir AVM,300.08,,,,,,,,,,,,
I100842,C143467,Female,45,Food & Beverage,5,26.15,Credit Card,08-06-21,Forum Istanbul,130.75,,,,,,,,,,,,
I100843,C170564,Female,54,Clothing,4,1200.32,Debit Card,17-01-22,Metropol AVM,4801.28,,,,,,,,,,,,
I100851,C256797,Female,32,Cosmetics,1,40.66,Credit Card,10-09-22,Istinye Park,40.66,,,,,,,,,,,,
I100855,C125109,Female,63,Clothing,3,900.24,Credit Card,25-06-21,Emaar Square Mall,2700.72,,,,,,,,,,,,
I100856,C475330,Male,44,Food & Beverage,3,15.69,Cash,09-06-22,Metropol AVM,47.07,,,,,,,,,,,,
I100861,C281937,Female,49,Cosmetics,2,81.32,Cash,24-12-22,Viaport Outlet,162.64,,,,,,,,,,,,
I100863,C302400,Male,35,Food & Beverage,2,10.46,Cash,04-01-23,Emaar Square Mall,20.92,,,,,,,,,,,,
I100865,C234663,Female,44,Cosmetics,3,121.98,Cash,10-02-22,Istinye Park,365.94,,,,,,,,,,,,
I100866,C265260,Female,54,Food & Beverage,3,15.69,Cash,16-08-21,Metrocity,47.07,,,,,,,,,,,,
I100870,C236060,Male,46,Books,2,30.3,Cash,02-03-23,Metrocity,60.6,,,,,,,,,,,,
I100875,C232349,Female,20,Toys,2,71.68,Cash,02-09-21,Mall of Istanbul,143.36,,,,,,,,,,,,
I100880,C217725,Female,39,Shoes,3,1800.51,Cash,13-01-21,Metropol AVM,5401.53,,,,,,,,,,,,
I100881,C332806,Male,32,Souvenir,1,11.73,Debit Card,06-05-21,Kanyon,11.73,,,,,,,,,,,,
I100884,C729531,Female,37,Souvenir,1,11.73,Cash,15-02-23,Metrocity,11.73,,,,,,,,,,,,
I100885,C102033,Male,38,Books,5,75.75,Cash,01-09-21,Mall of Istanbul,378.75,,,,,,,,,,,,
I100886,C676444,Female,41,Cosmetics,5,203.3,Cash,19-12-21,Metrocity,1016.5,,,,,,,,,,,,
I100897,C402407,Male,61,Shoes,4,2400.68,Credit Card,05-10-22,Kanyon,9602.72,,,,,,,,,,,,
I100899,C256232,Male,30,Clothing,5,1500.4,Cash,23-06-22,Kanyon,7502,,,,,,,,,,,,
I100900,C221280,Male,20,Food & Beverage,5,26.15,Cash,22-08-21,Viaport Outlet,130.75,,,,,,,,,,,,
I100901,C178198,Female,41,Clothing,1,300.08,Debit Card,17-06-22,Kanyon,300.08,,,,,,,,,,,,
I100903,C702152,Female,21,Clothing,3,900.24,Debit Card,20-12-21,Metrocity,2700.72,,,,,,,,,,,,
I100904,C138573,Male,32,Food & Beverage,5,26.15,Debit Card,23-12-22,Kanyon,130.75,,,,,,,,,,,,
I100911,C330379,Female,18,Technology,1,1050,Credit Card,29-08-21,Metrocity,1050,,,,,,,,,,,,
I100913,C229817,Female,41,Shoes,4,2400.68,Cash,26-08-22,Viaport Outlet,9602.72,,,,,,,,,,,,
I100914,C299493,Female,22,Food & Beverage,1,5.23,Credit Card,17-09-22,Kanyon,5.23,,,,,,,,,,,,
I100919,C189282,Female,31,Cosmetics,1,40.66,Credit Card,04-05-21,Kanyon,40.66,,,,,,,,,,,,
I100921,C323178,Female,53,Cosmetics,4,162.64,Credit Card,25-08-21,Metrocity,650.56,,,,,,,,,,,,
I100922,C185007,Female,31,Cosmetics,3,121.98,Cash,19-12-21,Mall of Istanbul,365.94,,,,,,,,,,,,
I100923,C139812,Female,41,Food & Beverage,1,5.23,Credit Card,08-04-22,Istinye Park,5.23,,,,,,,,,,,,
I100929,C224506,Male,59,Cosmetics,1,40.66,Credit Card,12-02-21,Mall of Istanbul,40.66,,,,,,,,,,,,
I100932,C204475,Male,43,Clothing,2,600.16,Cash,28-10-22,Mall of Istanbul,1200.32,,,,,,,,,,,,
I100936,C331442,Female,35,Clothing,1,300.08,Debit Card,21-06-21,Mall of Istanbul,300.08,,,,,,,,,,,,
I100953,C250015,Female,46,Shoes,4,2400.68,Cash,25-02-22,Istinye Park,9602.72,,,,,,,,,,,,
I100960,C156642,Female,57,Books,3,45.45,Cash,31-01-23,Kanyon,136.35,,,,,,,,,,,,
I100961,C157517,Female,47,Clothing,2,600.16,Cash,27-04-22,Forum Istanbul,1200.32,,,,,,,,,,,,
I100963,C500323,Female,35,Books,1,15.15,Debit Card,17-06-21,Cevahir AVM,15.15,,,,,,,,,,,,
I100964,C253827,Male,29,Cosmetics,4,162.64,Cash,19-07-21,Mall of Istanbul,650.56,,,,,,,,,,,,
I100965,C336119,Female,63,Shoes,4,2400.68,Cash,25-06-21,Emaar Square Mall,9602.72,,,,,,,,,,,,
I100969,C242347,Male,51,Clothing,1,300.08,Credit Card,09-06-21,Istinye Park,300.08,,,,,,,,,,,,
I100977,C221903,Female,27,Toys,3,107.52,Debit Card,05-09-22,Metrocity,322.56,,,,,,,,,,,,
I100978,C172330,Female,24,Cosmetics,5,203.3,Cash,18-06-22,Metrocity,1016.5,,,,,,,,,,,,
I100981,C116368,Female,33,Clothing,2,600.16,Credit Card,29-01-23,Metropol AVM,1200.32,,,,,,,,,,,,
I100983,C203462,Female,67,Clothing,1,300.08,Credit Card,29-05-22,Zorlu Center,300.08,,,,,,,,,,,,
I100988,C202289,Male,37,Clothing,2,600.16,Cash,27-09-22,Istinye Park,1200.32,,,,,,,,,,,,
I100991,C326660,Male,29,Shoes,5,3000.85,Debit Card,07-03-21,Metropol AVM,15004.25,,,,,,,,,,,,
I100998,C253884,Male,24,Toys,3,107.52,Debit Card,10-09-21,Kanyon,322.56,,,,,,,,,,,,
I101008,C314812,Male,62,Shoes,3,1800.51,Cash,09-04-22,Istinye Park,5401.53,,,,,,,,,,,,
I101010,C766878,Female,56,Clothing,2,600.16,Debit Card,07-03-22,Emaar Square Mall,1200.32,,,,,,,,,,,,
I101017,C124932,Female,40,Shoes,5,3000.85,Cash,24-07-22,Mall of Istanbul,15004.25,,,,,,,,,,,,
I101018,C266367,Female,26,Food & Beverage,1,5.23,Debit Card,20-12-22,Forum Istanbul,5.23,,,,,,,,,,,,
I101022,C237146,Female,25,Toys,3,107.52,Credit Card,21-09-21,Kanyon,322.56,,,,,,,,,,,,
I101031,C215753,Female,52,Cosmetics,4,162.64,Credit Card,18-11-21,Metropol AVM,650.56,,,,,,,,,,,,
I101034,C722304,Male,19,Toys,5,179.2,Cash,26-02-22,Metrocity,896,,,,,,,,,,,,
I101037,C216533,Female,30,Souvenir,2,23.46,Cash,07-09-21,Forum Istanbul,46.92,,,,,,,,,,,,
I101038,C144914,Female,42,Technology,2,2100,Debit Card,02-07-21,Cevahir AVM,4200,,,,,,,,,,,,
I101043,C289681,Female,32,Clothing,1,300.08,Credit Card,01-12-22,Cevahir AVM,300.08,,,,,,,,,,,,
I101048,C186345,Male,19,Clothing,2,600.16,Cash,06-09-22,Metrocity,1200.32,,,,,,,,,,,,
I101051,C722098,Male,59,Shoes,3,1800.51,Credit Card,13-06-21,Mall of Istanbul,5401.53,,,,,,,,,,,,
I101052,C844541,Male,66,Technology,3,3150,Debit Card,25-06-22,Kanyon,9450,,,,,,,,,,,,
I101059,C236719,Female,44,Clothing,5,1500.4,Cash,25-08-21,Mall of Istanbul,7502,,,,,,,,,,,,
I101060,C131806,Female,54,Clothing,2,600.16,Credit Card,16-11-21,Metrocity,1200.32,,,,,,,,,,,,
I101070,C330130,Female,18,Technology,1,1050,Credit Card,21-04-22,Kanyon,1050,,,,,,,,,,,,
I101083,C165321,Female,57,Clothing,3,900.24,Debit Card,04-02-21,Kanyon,2700.72,,,,,,,,,,,,
I101084,C943266,Female,26,Food & Beverage,1,5.23,Cash,18-10-22,Kanyon,5.23,,,,,,,,,,,,
I101086,C168165,Female,45,Shoes,4,2400.68,Debit Card,12-02-22,Kanyon,9602.72,,,,,,,,,,,,
I101088,C824542,Female,28,Toys,5,179.2,Debit Card,01-01-21,Kanyon,896,,,,,,,,,,,,
I101089,C392188,Male,39,Clothing,5,1500.4,Credit Card,06-05-21,Mall of Istanbul,7502,,,,,,,,,,,,
I101093,C301696,Female,43,Clothing,4,1200.32,Cash,05-07-21,Mall of Istanbul,4801.28,,,,,,,,,,,,
I101103,C194266,Female,45,Shoes,4,2400.68,Cash,06-10-21,Forum Istanbul,9602.72,,,,,,,,,,,,
I101113,C315161,Female,64,Shoes,3,1800.51,Cash,12-04-21,Forum Istanbul,5401.53,,,,,,,,,,,,
I101115,C540954,Female,30,Cosmetics,4,162.64,Credit Card,01-08-21,Metrocity,650.56,,,,,,,,,,,,
I101130,C298295,Male,45,Food & Beverage,3,15.69,Cash,10-09-22,Kanyon,47.07,,,,,,,,,,,,
I101131,C329519,Female,22,Cosmetics,5,203.3,Credit Card,22-08-22,Metropol AVM,1016.5,,,,,,,,,,,,
I101133,C270664,Female,63,Clothing,2,600.16,Cash,22-01-22,Kanyon,1200.32,,,,,,,,,,,,
I101135,C689947,Male,48,Clothing,5,1500.4,Credit Card,13-01-21,Kanyon,7502,,,,,,,,,,,,
I101140,C122069,Female,20,Clothing,5,1500.4,Credit Card,26-07-22,Forum Istanbul,7502,,,,,,,,,,,,
I101143,C293655,Male,46,Souvenir,5,58.65,Debit Card,25-02-22,Mall of Istanbul,293.25,,,,,,,,,,,,
I101146,C303865,Male,26,Food & Beverage,2,10.46,Credit Card,25-12-22,Viaport Outlet,20.92,,,,,,,,,,,,
I101148,C680169,Female,26,Cosmetics,4,162.64,Cash,21-04-22,Cevahir AVM,650.56,,,,,,,,,,,,
I101152,C276049,Male,30,Clothing,3,900.24,Cash,12-11-21,Kanyon,2700.72,,,,,,,,,,,,
I101154,C453116,Male,61,Clothing,4,1200.32,Credit Card,05-07-21,Metrocity,4801.28,,,,,,,,,,,,
I101155,C114131,Female,58,Clothing,5,1500.4,Cash,08-06-22,Metropol AVM,7502,,,,,,,,,,,,
I101156,C251408,Female,63,Clothing,2,600.16,Cash,07-12-21,Zorlu Center,1200.32,,,,,,,,,,,,
I101165,C325003,Female,34,Clothing,1,300.08,Debit Card,21-08-22,Kanyon,300.08,,,,,,,,,,,,
I101167,C492992,Female,39,Food & Beverage,5,26.15,Credit Card,31-01-22,Istinye Park,130.75,,,,,,,,,,,,
I101171,C786797,Female,64,Clothing,3,900.24,Cash,23-09-21,Mall of Istanbul,2700.72,,,,,,,,,,,,
I101176,C195529,Female,31,Food & Beverage,1,5.23,Cash,17-06-21,Istinye Park,5.23,,,,,,,,,,,,
I101181,C167199,Male,25,Food & Beverage,1,5.23,Cash,22-12-22,Istinye Park,5.23,,,,,,,,,,,,
I101183,C274709,Female,41,Cosmetics,1,40.66,Debit Card,10-03-22,Metropol AVM,40.66,,,,,,,,,,,,
I101185,C269338,Female,60,Cosmetics,3,121.98,Credit Card,20-05-22,Istinye Park,365.94,,,,,,,,,,,,
I101189,C301407,Male,68,Souvenir,2,23.46,Cash,11-05-22,Metrocity,46.92,,,,,,,,,,,,
I101190,C115198,Female,66,Food & Beverage,1,5.23,Credit Card,02-04-21,Istinye Park,5.23,,,,,,,,,,,,
I101192,C298571,Male,66,Toys,5,179.2,Cash,15-11-21,Forum Istanbul,896,,,,,,,,,,,,
I101193,C298074,Female,69,Food & Beverage,5,26.15,Credit Card,04-05-21,Viaport Outlet,130.75,,,,,,,,,,,,
I101201,C296680,Male,51,Cosmetics,2,81.32,Credit Card,20-06-22,Forum Istanbul,162.64,,,,,,,,,,,,
I101204,C147656,Female,42,Books,4,60.6,Cash,06-08-22,Mall of Istanbul,242.4,,,,,,,,,,,,
I101210,C316485,Female,20,Clothing,5,1500.4,Credit Card,04-07-22,Zorlu Center,7502,,,,,,,,,,,,
I101214,C229296,Female,40,Clothing,2,600.16,Credit Card,11-03-21,Viaport Outlet,1200.32,,,,,,,,,,,,
I101219,C296170,Female,52,Books,1,15.15,Credit Card,30-04-22,Kanyon,15.15,,,,,,,,,,,,
I101220,C322664,Male,67,Souvenir,4,46.92,Cash,06-10-22,Metropol AVM,187.68,,,,,,,,,,,,
I101229,C256902,Female,19,Food & Beverage,3,15.69,Cash,05-07-22,Kanyon,47.07,,,,,,,,,,,,
I101237,C239679,Female,65,Clothing,3,900.24,Credit Card,10-02-21,Mall of Istanbul,2700.72,,,,,,,,,,,,
I101239,C362001,Female,25,Technology,2,2100,Credit Card,14-03-21,Metrocity,4200,,,,,,,,,,,,
I101247,C178321,Male,35,Clothing,3,900.24,Credit Card,25-02-21,Mall of Istanbul,2700.72,,,,,,,,,,,,
I101252,C998123,Female,23,Toys,2,71.68,Credit Card,21-01-21,Forum Istanbul,143.36,,,,,,,,,,,,
I101255,C164171,Female,66,Food & Beverage,2,10.46,Cash,11-12-21,Cevahir AVM,20.92,,,,,,,,,,,,
I101256,C129775,Male,50,Clothing,2,600.16,Credit Card,26-06-22,Mall of Istanbul,1200.32,,,,,,,,,,,,
I101263,C268120,Male,69,Food & Beverage,4,20.92,Credit Card,12-12-22,Mall of Istanbul,83.68,,,,,,,,,,,,
I101279,C237894,Female,48,Technology,3,3150,Cash,22-06-22,Metropol AVM,9450,,,,,,,,,,,,
I101280,C663744,Female,39,Clothing,2,600.16,Credit Card,26-03-22,Mall of Istanbul,1200.32,,,,,,,,,,,,
I101281,C177781,Male,50,Clothing,4,1200.32,Debit Card,02-03-22,Emaar Square Mall,4801.28,,,,,,,,,,,,
I101282,C317379,Female,50,Clothing,3,900.24,Cash,30-06-22,Viaport Outlet,2700.72,,,,,,,,,,,,
I101283,C294350,Female,48,Food & Beverage,1,5.23,Credit Card,19-06-22,Metrocity,5.23,,,,,,,,,,,,
I101288,C476777,Male,36,Food & Beverage,1,5.23,Cash,24-07-22,Kanyon,5.23,,,,,,,,,,,,
I101290,C208569,Female,31,Souvenir,4,46.92,Credit Card,13-02-23,Mall of Istanbul,187.68,,,,,,,,,,,,
I101296,C132787,Female,41,Cosmetics,2,81.32,Debit Card,14-01-23,Istinye Park,162.64,,,,,,,,,,,,
I101301,C211329,Male,39,Food & Beverage,5,26.15,Credit Card,12-12-22,Kanyon,130.75,,,,,,,,,,,,
I101305,C131548,Female,66,Toys,3,107.52,Cash,07-03-22,Forum Istanbul,322.56,,,,,,,,,,,,
I101306,C162468,Female,42,Clothing,3,900.24,Debit Card,21-05-22,Kanyon,2700.72,,,,,,,,,,,,
I101308,C551127,Male,18,Shoes,2,1200.34,Credit Card,12-03-21,Mall of Istanbul,2400.68,,,,,,,,,,,,
I101312,C261678,Male,50,Clothing,5,1500.4,Cash,29-09-21,Mall of Istanbul,7502,,,,,,,,,,,,
I101313,C463777,Female,62,Souvenir,1,11.73,Credit Card,09-02-21,Kanyon,11.73,,,,,,,,,,,,
I101314,C995203,Male,20,Food & Beverage,3,15.69,Cash,01-05-22,Kanyon,47.07,,,,,,,,,,,,
I101316,C100544,Female,40,Cosmetics,3,121.98,Debit Card,24-06-22,Metrocity,365.94,,,,,,,,,,,,
I101318,C156439,Female,27,Clothing,1,300.08,Debit Card,06-03-21,Metrocity,300.08,,,,,,,,,,,,
I101320,C264902,Male,18,Books,3,45.45,Cash,12-04-22,Mall of Istanbul,136.35,,,,,,,,,,,,
I101325,C101956,Female,27,Souvenir,1,11.73,Cash,25-02-21,Mall of Istanbul,11.73,,,,,,,,,,,,
I101328,C468550,Male,52,Clothing,2,600.16,Cash,24-07-22,Viaport Outlet,1200.32,,,,,,,,,,,,
I101339,C162091,Female,51,Clothing,4,1200.32,Credit Card,21-04-21,Forum Istanbul,4801.28,,,,,,,,,,,,
I101343,C180911,Female,50,Toys,4,143.36,Debit Card,02-06-21,Viaport Outlet,573.44,,,,,,,,,,,,
I101344,C107378,Male,54,Shoes,4,2400.68,Credit Card,05-09-22,Kanyon,9602.72,,,,,,,,,,,,
I101347,C280063,Female,58,Toys,2,71.68,Credit Card,26-09-21,Kanyon,143.36,,,,,,,,,,,,
I101348,C126235,Female,67,Clothing,4,1200.32,Credit Card,31-08-22,Mall of Istanbul,4801.28,,,,,,,,,,,,
I101351,C726291,Female,52,Cosmetics,4,162.64,Cash,10-06-21,Viaport Outlet,650.56,,,,,,,,,,,,
I101352,C548721,Female,26,Cosmetics,2,81.32,Cash,22-01-21,Metropol AVM,162.64,,,,,,,,,,,,
I101353,C246402,Female,24,Cosmetics,2,81.32,Debit Card,25-03-22,Istinye Park,162.64,,,,,,,,,,,,
I101354,C235189,Female,65,Cosmetics,2,81.32,Debit Card,12-09-22,Emaar Square Mall,162.64,,,,,,,,,,,,
I101356,C227436,Male,38,Cosmetics,1,40.66,Cash,23-03-22,Metrocity,40.66,,,,,,,,,,,,
I101359,C269676,Male,42,Shoes,3,1800.51,Cash,08-12-21,Metropol AVM,5401.53,,,,,,,,,,,,
I101360,C540352,Female,39,Shoes,5,3000.85,Credit Card,11-07-21,Mall of Istanbul,15004.25,,,,,,,,,,,,
I101361,C184579,Male,39,Clothing,4,1200.32,Cash,29-05-21,Istinye Park,4801.28,,,,,,,,,,,,
I101363,C182070,Male,18,Clothing,2,600.16,Credit Card,26-11-22,Metrocity,1200.32,,,,,,,,,,,,
I101366,C927671,Female,47,Clothing,2,600.16,Credit Card,19-10-21,Kanyon,1200.32,,,,,,,,,,,,
I101368,C236364,Male,60,Books,4,60.6,Credit Card,07-02-21,Istinye Park,242.4,,,,,,,,,,,,
I101370,C313925,Female,59,Toys,5,179.2,Credit Card,22-10-21,Kanyon,896,,,,,,,,,,,,
I101372,C180019,Female,22,Toys,5,179.2,Credit Card,05-06-21,Forum Istanbul,896,,,,,,,,,,,,
I101378,C241757,Female,47,Books,3,45.45,Cash,30-12-21,Metrocity,136.35,,,,,,,,,,,,
I101379,C275478,Female,61,Clothing,1,300.08,Cash,16-01-23,Kanyon,300.08,,,,,,,,,,,,
I101383,C151482,Female,29,Cosmetics,5,203.3,Credit Card,25-04-22,Metrocity,1016.5,,,,,,,,,,,,
I101390,C314514,Female,35,Cosmetics,3,121.98,Cash,08-09-21,Mall of Istanbul,365.94,,,,,,,,,,,,
I101393,C109321,Female,55,Food & Beverage,3,15.69,Debit Card,31-07-22,Kanyon,47.07,,,,,,,,,,,,
I101394,C321439,Female,24,Books,1,15.15,Cash,07-06-22,Metropol AVM,15.15,,,,,,,,,,,,
I101398,C152504,Female,27,Cosmetics,2,81.32,Credit Card,14-09-22,Mall of Istanbul,162.64,,,,,,,,,,,,
I101407,C323409,Female,32,Clothing,5,1500.4,Cash,16-07-22,Viaport Outlet,7502,,,,,,,,,,,,
I101409,C431191,Female,21,Clothing,3,900.24,Debit Card,10-11-22,Kanyon,2700.72,,,,,,,,,,,,
I101410,C177708,Female,63,Clothing,3,900.24,Cash,13-06-22,Istinye Park,2700.72,,,,,,,,,,,,
I101414,C104129,Female,20,Clothing,4,1200.32,Cash,12-08-21,Metrocity,4801.28,,,,,,,,,,,,
I101418,C127683,Female,50,Clothing,3,900.24,Credit Card,27-02-21,Emaar Square Mall,2700.72,,,,,,,,,,,,
I101419,C502529,Male,54,Toys,2,71.68,Credit Card,11-03-21,Istinye Park,143.36,,,,,,,,,,,,
I101423,C666388,Male,52,Books,3,45.45,Cash,03-02-23,Viaport Outlet,136.35,,,,,,,,,,,,
I101426,C262766,Female,67,Cosmetics,3,121.98,Cash,29-04-21,Kanyon,365.94,,,,,,,,,,,,
I101428,C197332,Female,21,Clothing,5,1500.4,Debit Card,08-07-21,Mall of Istanbul,7502,,,,,,,,,,,,
I101429,C148693,Female,50,Books,4,60.6,Credit Card,17-04-21,Mall of Istanbul,242.4,,,,,,,,,,,,
I101433,C208860,Male,40,Food & Beverage,3,15.69,Credit Card,10-08-22,Mall of Istanbul,47.07,,,,,,,,,,,,
I101434,C310631,Male,30,Books,5,75.75,Cash,29-11-21,Mall of Istanbul,378.75,,,,,,,,,,,,
I101435,C245633,Female,29,Toys,2,71.68,Credit Card,04-08-22,Metropol AVM,143.36,,,,,,,,,,,,
I101442,C837574,Female,29,Cosmetics,4,162.64,Credit Card,05-09-21,Mall of Istanbul,650.56,,,,,,,,,,,,
I101444,C335486,Female,51,Souvenir,5,58.65,Debit Card,17-12-21,Emaar Square Mall,293.25,,,,,,,,,,,,
I101445,C171342,Female,18,Cosmetics,4,162.64,Credit Card,02-05-22,Kanyon,650.56,,,,,,,,,,,,
I101449,C220137,Male,33,Cosmetics,4,162.64,Credit Card,05-12-21,Metrocity,650.56,,,,,,,,,,,,
I101452,C231594,Male,45,Clothing,2,600.16,Credit Card,15-10-21,Emaar Square Mall,1200.32,,,,,,,,,,,,
I101453,C666613,Female,65,Cosmetics,1,40.66,Debit Card,09-04-21,Kanyon,40.66,,,,,,,,,,,,
I101454,C118691,Female,53,Clothing,3,900.24,Cash,20-04-22,Istinye Park,2700.72,,,,,,,,,,,,
I101455,C154531,Male,69,Technology,3,3150,Cash,28-02-22,Kanyon,9450,,,,,,,,,,,,
I101456,C283434,Male,36,Technology,4,4200,Credit Card,26-12-22,Kanyon,16800,,,,,,,,,,,,
I101458,C113888,Female,35,Clothing,1,300.08,Cash,21-07-22,Metrocity,300.08,,,,,,,,,,,,
I101460,C247762,Female,45,Clothing,5,1500.4,Cash,11-01-22,Zorlu Center,7502,,,,,,,,,,,,
I101465,C250819,Female,23,Clothing,2,600.16,Credit Card,16-06-21,Metrocity,1200.32,,,,,,,,,,,,
I101466,C314331,Female,36,Clothing,2,600.16,Cash,29-09-22,Emaar Square Mall,1200.32,,,,,,,,,,,,
I101467,C155383,Female,54,Toys,4,143.36,Cash,04-07-22,Metropol AVM,573.44,,,,,,,,,,,,
I101472,C216194,Female,45,Clothing,4,1200.32,Cash,06-07-21,Metrocity,4801.28,,,,,,,,,,,,
